availability,catalog_course,catalog_course_title,count,count_change_7_days,course_id,cumulative_count,end_date,enrollment_modes.audit.count,enrollment_modes.audit.cumulative_count,enrollment_modes.credit.count,enrollment_modes.credit.cumulative_count,enrollment_modes.honor.count,enrollment_modes.honor.cumulative_count,enrollment_modes.professional.count,enrollment_modes.professional.cumulative_count,enrollment_modes.verified.count,enrollment_modes.verified.cumulative_count,pacing_type,recent_count_change,start_date
,,,19,0,course-v1:fa+adaptmathem+2019_leto,20,,19,20,0,0,0,0,0,0,0,0,,,
,,,4,0,course-v1:fa+anticorruption+2019_leto,4,,4,4,0,0,0,0,0,0,0,0,,,
,,,2,0,course-v1:fa+behavfinance+2019_leto,2,,2,2,0,0,0,0,0,0,0,0,,,
,,,4,0,course-v1:fa+budgetary+2019_leto,5,,4,5,0,0,0,0,0,0,0,0,,,
,,,3,0,course-v1:fa+corpfinance+2020_a,4,,3,4,0,0,0,0,0,0,0,0,,,
,,,1,0,course-v1:fa+cosmism+2019_leto,1,,1,1,0,0,0,0,0,0,0,0,,,
,,,2,0,course-v1:fa+crisismanag+2019_leto,3,,2,3,0,0,0,0,0,0,0,0,,,
,,,4,0,course-v1:fa+digitalmarket+2019_leto,4,,4,4,0,0,0,0,0,0,0,0,,,
,,,2,0,course-v1:fa+economexpert+2019_leto,2,,2,2,0,0,0,0,0,0,0,0,,,
,,,0,0,course-v1:fa+elementarily_ru_unit_1+2019_V1,1,,0,1,0,0,0,0,0,0,0,0,,,
,,,4,0,course-v1:fa+ex4+2020_C4,4,,1,1,0,0,0,0,0,0,4,4,,,
,,,4,0,course-v1:fa+finmarket+2020_a,4,,4,4,0,0,0,0,0,0,0,0,,,
,,,2,0,course-v1:fa+fintech+2019_leto,2,,2,2,0,0,0,0,0,0,0,0,,,
,,,1,0,course-v1:fa+fizkult+2019_leto,2,,1,2,0,0,0,0,0,0,0,0,,,
,,,1,0,course-v1:fa+gametheory+2019_leto,1,,1,1,0,0,0,0,0,0,0,0,,,
,,,3,0,course-v1:fa+gender+2020_a,3,,3,3,0,0,0,0,0,0,0,0,,,
,,,2,0,course-v1:fa+institutecon+2019_leto,3,,2,3,0,0,0,0,0,0,0,0,,,
,,,0,0,course-v1:fa+intercultural+2019o,1,,0,1,0,0,0,0,0,0,0,0,,,
,,,3,0,course-v1:fa+intercultural+2019_leto,4,,3,4,0,0,0,0,0,0,0,0,,,
,,,5,0,course-v1:fa+interfinance+2019_leto,5,,5,5,0,0,0,0,0,0,0,0,,,
,,,2,0,course-v1:fa+istekuch+2019_leto,3,,2,3,0,0,0,0,0,0,0,0,,,
,,,1,0,course-v1:fa+itinresearch+2018,2,,1,2,0,0,0,0,0,0,0,0,,,
,,,2,0,course-v1:fa+legalblame+2019_leto,2,,2,2,0,0,0,0,0,0,0,0,,,
,,,1,0,course-v1:fa+logicta+2019_leto,1,,1,1,0,0,0,0,0,0,0,0,,,
,,,4,0,course-v1:fa+machinelearn+2019_leto,6,,4,6,0,0,0,0,0,0,0,0,,,
,,,2,0,course-v1:fa+mairbs+2019_leto,3,,2,3,0,0,0,0,0,0,0,0,,,
,,,1,0,course-v1:fa+manageffect+2019_leto,2,,1,2,0,0,0,0,0,0,0,0,,,
,,,0,0,course-v1:fa+mutualinsur+2019_leto,1,,0,1,0,0,0,0,0,0,0,0,,,
,,,1,0,course-v1:fa+publicrel+2019_leto,2,,1,2,0,0,0,0,0,0,0,0,,,
,,,1,0,course-v1:fa+riskinsur+2019_leto,1,,1,1,0,0,0,0,0,0,0,0,,,
,,,0,0,course-v1:fa+socupr+2019_leto,1,,0,1,0,0,0,0,0,0,0,0,,,
,,,3,0,course-v1:fa+staffmanag+2019_leto,3,,3,3,0,0,0,0,0,0,0,0,,,
,,,3,0,course-v1:fa+strategicman+2020_a,4,,3,4,0,0,0,0,0,0,0,0,,,
,,,0,0,course-v1:fa+taxinter+2019_leto,1,,0,1,0,0,0,0,0,0,0,0,,,
,,,1,0,course-v1:fa+vvodblockchain+2019_leto,2,,1,2,0,0,0,0,0,0,0,0,,,
